username,content
kompascom,"Menyusul naiknya harga BBM, tarif ojek ""online"" pun akhirnya terkerek yang mulai berlaku 10 September 2022. https://t.co/EHXRcDk40E"
Andiriego_,"@Ranisor Dukung Penyesuaian harga BBM #SubsidiBagiKaumRentan
BansosHarus TepatSasaran"
Daniekzh,"Harga bbm naik, harga tiket kapal pun ikut naik 😢"
HdSarira,"Setuju....kami di daerah pedalaman Kalimantan timur aja, yg kalau BBM gak sempat ke SPBU krn jauh...kami beli dg harga termurah 12.000 sampai 13.000....gak ribut tuh https://t.co/mbqDoL6C9M"
Thavit_Amoura,"MERESPONS PENOLAKAN ORGANDA TERHADAP PROGRAM KONPENSASI KENAIKAN HARGA BBM. 

#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/RXUtV0nSP5"
kurakurahias,"@magelang_fess Harga wajar kok, kan BBM mahal nder"
Andiriego_,"@chinta_chintata Nah Arab aja naikin harga BBM #SubsidiBagiKaumRentan
BansosHarus TepatSasaran"
lanarun_,"@Askrlfess Ego nya tinggi banget ya ini orang, ngalahin tinggi nya harga BBM saat ini

https://t.co/nayfSHUKwF"
April20220101,"@kusumo_rb @kr1t1kp3d45_pro Iya, yaa, Pak. Padahal ga usah demo. Biarin aja mau ada rezim bobrok kek, mau BBM naek sampe bengek kek, mau harga-harga melejit ga ngotak kek, mau ada periode ketiga kek.. Yaudah biarin aja, yaa kan, Pak? Biarin ajaaa.. Daripada demo susah-susah. Biarin aja rakyat mah..."
ghagus5,@txtdrpemerintah next sebagai support kpd rekan rekan demonstran yg memperjuangkan penururan harga Bbm Bjorka akan buka bukaan dgn Pertamina
SuciRanii,Penyesuaian harga BBM bersubsidi diperlukan untuk  menyelematkan APBN dan pengalihan subsidi untuk rakyat bawah. #SUBSIDITEPATSASARAN #HargaBBMberkeadilan #BBMuntukRakyat #AlihSubsidiBBMSelamatkanAPBN https://t.co/pl1HUXUgJk
adhibroke,@darktracer_int harga bbm kah?
FitriNursovia,Alasan adanya penyesuaian harga BBM https://t.co/z8DxgUEJUb
FitriNursovia,Penyesuaian harga BBM jadi momentum alihkan APBN dan maksimalkan EBT https://t.co/Q79IkgpNox
FitriNursovia,Penjelasan Menteri ESDM terkait penyesuaian harga BBM https://t.co/6EzYRbFAQi
Azkia2020,@PKSejahtera Pdip kmna ga ikutan menolak ya dlu jaman sby rajin demo pake atribut partai ke jalan tolak kenaikan bbm dn lain2😀 skrng dah berkuasa malah melebihi jaman sby menaikan harga bbm nya dn sering sekali sy itu
bangSaid_,"TURUNKAN HARGA BBM
TURUNKAN HARGA BARANG
TEGAKKAN HUKUM ____
#BangkitAtauTertindas
#BangkitAtauTertindas
Masa depan Agama, Bangsa &amp; Negara ada di tangan mu. https://t.co/WxvblgKRhM"
goziafdoli1,UMR jogja udah naik gak ? Mengikiti harga BBM yg naik ? https://t.co/u6A8x4WeaZ
galerifitri,"Arab saudi juga naikkin harga BBM

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/OZRZzx0Hnr"
pranayoga168,"@prastow @fadlizon @Gerindra Harga minyak dunia turun woooooiiiii....!!!
Kenapa BBM pertamina gak turun..?? Biar untung nya banyak sehingga pertamina mendapat keuntungan banyak, ""nilai plus buat hasil kerja ahok"". Tinggal tunggu media² membuat berita kehebatan ahok membuat pertamina untung banyak..🤣🤣🤣🤣"
Thavit_Amoura,"MAHASISWA DEMO TOLAK KENAIKAN HARGA BBM DI DPRD JABAR. 

#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/6CfFBJIgVj"
Ibnu_Sab1l,"Kenapa sih gak sekalian protes ama pemerjntah. Baekin BBM semena2 sama orang punya kendaraan aja. 

Kami pejalan kaki jadinya Harga sendal sama telor ceplok jadi naek. Diskriminasi sekali. https://t.co/sWOTgS4CbH"
Rm_lndr4one4587,"@lettachantik Pemerintah cuma naikkan harga smua jenis BBM ja, org2 pd ngomel dan protes. Klo pemerintah sdh buat UU tentang sanksi hukum pemilik/pengguna mobil produksi thn &gt;=2015 dan kapasitas mesin &gt;=1500cc yg beli BBM bersubsidi, mngkin sdh kacau tiap hari demo kek org kesurupan"
Sumari59,"Sumari minta di kembalikan dana  subsidi BLT dampak kenaikan harga bbm september 2022

Sebagai motivasi kehidupan dalam ber negara dalam setiap tahun di ketahui jumlah independent nominal dana khas negara"
Bunga_Que,"Bupati Garut dan DPRD terima audiensi penolakan harga bbm. 
#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/cds5EywHK6"
Dpr_Printing,"Mug dengan desain sesukamu pokoknya, Harga Terjangkau Order Just Call me at 085725054237 Pin BBM 79062369 Yusuf_mansyur  https://t.co/26tM6KPF5O"
Bayaz15Yildirim,"Giliran....
Ulama Tegal Pantura Menolak Harga BBM Naik https://t.co/Tc6KfdKPCk"
Anggita_lung,"@galerifitri Nahhh...Arab Saudi pun pun menaikkan harga BBM 
#SubsidiBagiKaumRentan
BansosHarus TepatSasaran"
Rusdian10599719,"KOK nggak ngerti, Khan mbak puan bilang kenaikan harga BBM demi kesejahteraan masyarakat. https://t.co/gU3rapV8Dt"
galerifitri,"Yg menaikkan harga BBM bukan hanya Indonesia.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/xOXWwhYmrh"
Azkia2020,@ewi12lai @geloraco Kembali kejaman sby ajah dlu pdip sering demo tolak kenaikan bbm pajak listrik utang luar negri sampe bu puan nangis2 di gedung dpr mengaku partai wong cilik ikut menolak keputusan pemerintah tpi skrng krmana pdip ko ga demo lgi padahal kenaikan harga bbm dn lain2 lebih parah
SINDOnews,"Harga BBM Naik Tinggi, Anies Tambah Subsidi Transjakarta Rp62,1 Miliar

 #Sindonews #BukanBeritaBiasa .https://t.co/S4ATWfHDRW"
irfanwahidi60,"@6undul0h Mungkin karena fee import (nyatut harga) BBM nya ke gedean,,🙏"
roseuune,"Suka tidak suka , mau tdk mau kebijakan penyesuaian harga BBM bersubsidi harus bisa dipahami dengan baik , penyesuaian harga minyak merupakan fenomena global 

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/glfpqjXw77"
galerifitri,"Yes bukan hanya Indonesia yg menaikkan harga BBM.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/7HovWEZkOz"
roseuune,"Pengalihan subsidi BBM harus tepat sasaran mengingat kenaikan harga BBM berdampak langsung pada kenaikan transportasi dan berpotensi menaikan harga komoditas

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/Q3gdtnjkRA"
abu_waras,"Parah!, Meski Harga BBM Dinaikan Presiden Jokowi Secara Ugal-Ugalan, Anak Buah Anies  Tidak Akan Menaikan Tarif Transportasi Jaklingko.
Netizen: Anies Memang Cocoknya Jadi Presiden, Bukan Jadi Gubernur Lagi. https://t.co/0eOom5vSAp"
galerifitri,"BaHkan Arab saudi sdh menaikkan harga BBM.
#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/DChHtugVYE"
alhikam53475871,"@NenkMonica Semoga acaranya lancar &amp; sukses. Rakyat merasakan skl keberatan dgn harga2 yg naik, kecuali BuzzeRp.  Pemerintah negara tetangga bisa menurunkan harga BBM, knapa disini malah naik. DPR kita kebanyakan oknum, sdh tdk bisa lagi menyuarakan kepentingan Rakyat. https://t.co/kumMrCgyM1"
Sumari59,"Sumari september 2022 harga bbm naik

Pemerintah akan segera membangun jembatan penghubung RI_malasyia sepanjang 120km"
keplak_n,"Spt gambar,dimasa yg gak terlalu lama,tiap rumah mampu membuat tenaga listrik mandiri,ilustrasi adlh powerplant tenaga matahari,Pak Elon Musk sdh mulai membesut produknya yg spt https://t.co/rV6EZ7QclM klo ini terlaksana gak perlu terkaget"" dng harga BBM. https://t.co/j7zf7JNmqd"
fayuwandha,"Harga BBM 📈⬆️
Hukuman koruptor 📉⬇️

5. Keadilan sosial bagi (seluruh) rakyat* Indonesia

*) S&amp;K berlaku"
WongNdesaSugih,@bambangmulyono2 @asboediono_id @asboedionoid Tukang mulung barang bekas koq disuruh ngitung harga BBM....ANCUR...!!!🤣🤣🤣
MediaKomando,"Tolak Kenaikan Harga BBM, FPI, PA 212, dan GNPF-Ulama Kompak Tuntut Presiden Mundur
https://t.co/cEk3gF5Fgk"
rasa2086,"Subsidi Perlu Cepat Diberikan Agar Tidak Terjadi Perlambatan Konsumsi Masyarakat

Pengalihan subsidi harus tepat sasaran mengingat kenaikan harga BBM berdampak langsung pada kenaikan biaya transportasi dan berpotensi naiknya harga.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/ZQW1eveu1W"
galerifitri,"Ekonom senior, Faisal Basri mengatakan bhwa kebijakan penyesuaian harga BBM bersubsidi, meski pahit hrs dipahami dg baik.
Krn hampir semua negara termasuk produsen besar spt Arab Saudi sdh menaikkan harga BBM.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/3y7wBEqp1z"
pop0yyi,"Puan berharap agar bantuan langsung tunai (BLT) yang diberikan pemerintah imbas dari kenaikan harga BBM dapat tepat sasaran.

DPR akan mengawasi bagaimana berlangsungnya penyaluran bantuan tersebut di lapangan.

#SubsidiBagiKaumRentan
BansosHarus TepatSasaran https://t.co/TSihSXENJ5"
